orgao;uf_orgao
Cimi;RO
Fetraf;RO
Abia;RO
UFPB;RO
UFC;RO
Cetcaf;RO
Ifoam;RO
Cecafé;RO
UFSJ;RO
FSC;RO
Mapa;RO
Ufes;RO
IITA;RO
Jica;AC
Fepagro;AC
Consepa;AC
Ufob;AC
CPT;AC
ISPN;AM
Fapesp;AM
UFTM;AM
Ipaam;AM
Fealq;RR
Fundecitrus;RR
Binagri;RR
Aben;RR
Pnuma;RR
ABCBRH;RR
Ceagesp;RR
Icone;RR
Mercosul;RR
SBPC;RR
Unifei;PA
Ceplac;PA
Ufpi;PA
ABCZ;PA
Unido;PA
Ciat;PA
OMS;PA
Unesp;AP
Codevasf;AP
Cati;AP
MCTI;AP
Abrasem;AP
Conex;AP
UFMT;AP
Unoesc;TO
UFF;TO
EDIPUCRS;TO
Icarda;TO
FNDE;TO
Inpi;TO
UEL;MA
Conamaz;MA
Anvisa;MA
Nasa;MA
ANA;MA
AEB;MA
IBGE;PI
Rebraf;PI
Funai;PI
UFPel;PI
Univasf;CE
Inpa;CE
SNA;CE
Emater;CE
Ufca;RN
Sescoop;RN
Cepagro;RN
Codefat;PB
Ancar;PB
Inmet;PB
Iapar;PB
Faperj;PB
Agrobase;PB
OCB;PB
UFCSPA;PE
Cirad;PE
Abag;PE
Cena;PE
Fiocruz;PE
NRI;PE
Idaco;PE
IB;PE
Ufpa;AL
Unisinos;AL
Anpii;AL
Iphan;AL
Efta;AL
CBME;AL
Unifesspa;SE
Inep;SE
UFV;SE
IEA;SE
ABIPT;SE
ANS;SE
ABTG;BA
Ibama;BA
FAO;BA
UFSCar;BA
FCAVJ;BA
Imaflora;BA
Abradic;BA
Anprotec;BA
Pesagro;BA
UFSB;BA
Cecal;BA
CNPq;BA
Ufba;BA
Cicir;BA
Isnar;MG
Univale;MG
Unicamp;MG
Unilab;MG
FFEX;MG
Ibase;MG
BOVESPA;MG
Uesb;MG
Aneel;MG
Ansi;MG
CFA;MG
Unifesp;ES
UFU;ES
Ufra;ES
IAB;ES
Uece;ES
UFT;ES
Faeg;ES
Eurotox;ES
Uniube;ES
PUC;ES
Chesf;ES
Anepi;ES
IL;ES
Sindan;ES
Ibict;RJ
UFRPE;RJ
Earrnet;RJ
ABA;RJ
ABNT;RJ
SI;RJ
OC;RJ
Ifpri;RJ
CNEN;RJ
CNRH;RJ
Carifta;RJ
UFCG;RJ
Ufop;RJ
Icrisat;SP
AAF;SP
Cepal;SP
USP;SP
Ufam;SP
Abeu;SP
ISO;SP
CTPA;SP
Farsul;SP
CBPF;SP
SPU;SP
Petrobras;SP
UFRN;SP
Abifina;SP
Inpe;PR
Jircas;PR
LPC;PR
Abeta;PR
Asean;PR
Senar;PR
OECD;PR
Furg;PR
AFA;PR
Centa;PR
Fipai;PR
Iarc;PR
Conab;PR
OCA;PR
UnB;SC
Unifal-MG;SC
Ufac;SC
Fapcen;SC
Ufersa;SC
Gatt;SC
MinC;SC
Ufopa;SC
DRS;SC
Unirio;SC
Fundater;RS
Asbraer;RS
ISBN;RS
Unipampa;RS
Opas;RS
UFRRJ;RS
CDPC;RS
Anatel;RS
Udesc;RS
Fipe;MS
Ocepar;MS
Icraf;MS
ONU;MS
Unir;MS
Esucarv;MS
CNC;MS
Ufpe;MS
CSIR;MS
Ufma;MS
Sebrae;MS
Nars;MS
Arco;MS
Cifor;MS
Sarrnet;MS
Alca;MT
UFPR;MT
OMC;MT
CSIRO;MT
AAP;MT
UFRGS;MT
Contag;MT
UFMG;MT
UFSM;MT
UFRB;MT
Unced;MT
UFRR;MT
MST;MT
Usda;MT
Usaid;MT
Capes;MT
Denacoop;GO
SciELO;GO
SBB;GO
FEBRAPDP;GO
Unifap;GO
Ciepca;GO
UFMS;GO
Ufla;GO
MDS;GO
PPA;GO
Inra;GO
Uenf;GO
Uerj;GO
Esalq;GO
UFG;GO
Ripa;GO
Anda;GO
Bird;GO
Abrahue;DF
UFRJ;DF
Fapa;DF
ABC;DF
Unifal;DF
Nafta;DF
ARS;DF
Aspeca;DF
Asareca;DF
UFS;DF
CIP;DF
OEA;DF
Opec;DF
Ipea;DF
NASW;DF
Abigraf;DF
ISSN;DF
Sober;DF
UFSC;DF
Creai;DF
Finep;DF
Pnud;DF
Inmetro;DF
Tropigen;DF
Abec;DF
Feoga;DF
Asnab;DF
Ifad;DF
UPF;DF
UTFPR;DF
Abrapa;DF
IRD;DF
Copersucar;DF
Ufal;DF
ISA;DF
APA;DF
CTNBio;DF
CNBB;DF
Abifumo;DF
ANP;SP
Aladi;SP
Idaca;SP
Afta;SP
Uneb;SP
Bacen;SP
UEPG;SP
IAP;SP
UFABC;SP
Apimondia;SP
Cimmyt;SP
UFJF;SP
Abece;SP
Ofda;SP
Inesc;SP
DNOCS;SP
IICA;SP
IAC;SP
UFGD;SP
Upov;SP
BIS;SP
UFVJM;SP
SBZ;SP
Unesa;SP
Ipam;SP
DNPEA;SP
Abics;SP
DAP;SP
Confea;SP
Ceasa;SP
Unitins;SP
UEM;SP
CSPA;SP
Abre;SP
CGIAR;SP
Unesco;SP
Abipti;SP
CNA;RJ
Dieese;RJ
OTA;RJ
Otan;RJ
Unila;RJ
Conama;RJ
Coep;RJ
Unemat;RJ
ABPA;RJ
UFFS;RJ
Unctad;RJ
Funceme;RJ
Anec;RJ
Inia;RJ
Cosave;RJ
ICA;RJ
Incra;RJ
Iniap;RJ
Abic;RJ
Apta;RJ
Genamaz;RJ
SBF;RJ
